Z,Period,Group,EN,CR,CM_type,CM_morph,MS2_morph,CP_morph,SSA,C,PW,CD,Cs,Cation_H,Cation_K,Cation_Li,Cation_Na,Anion_OH,Anion_SO4
28,4,10,1.91,1.17,0,0,3,0,6.31,1,0.45,1,782.6666667,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
28,4,10,1.91,1.17,0,0,3,0,6.31,1,0.45,2,590.4444444,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
28,4,10,1.91,1.17,0,0,3,0,6.31,1,0.45,5,408,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
28,4,10,1.91,1.17,0,0,3,0,6.31,1,0.45,10,310,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
28,4,10,1.91,1.17,0,0,3,0,6.31,1,0.45,20,237.3333333,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
28,4,10,1.91,1.17,0,0,3,0,6.31,1,0.45,50,168.6666667,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
28,4,10,1.91,1.17,0,0,0,0,66.5,6,0.45,0.5,566,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
28,4,10,1.91,1.17,0,0,0,0,66.5,6,0.45,1,536.9,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
28,4,10,1.91,1.17,0,0,0,0,66.5,6,0.45,2,382.7,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
28,4,10,1.91,1.17,0,0,0,0,66.5,6,0.45,4,218.6,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
28,4,10,1.91,1.17,0,0,0,0,66.5,6,0.45,6,112.9,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
